192.168.10.38, 2017-05-22 17:44:12, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000344
192.168.10.38, 2017-05-22 17:44:12, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000335
192.168.10.38, 2017-05-22 17:44:18, GET, /examples/default/index, HTTP/1.1, 200, 0.009935
192.168.10.38, 2017-05-22 17:44:22, GET, /examples/default/what, HTTP/1.1, 200, 0.457305
192.168.10.38, 2017-05-22 17:44:27, GET, /examples/default/index, HTTP/1.1, 200, 0.010514
192.168.10.38, 2017-05-22 17:44:28, GET, /welcome/default/index, HTTP/1.1, 200, 0.030206
192.168.10.38, 2017-05-22 17:45:42, GET, /welcome/default/index, HTTP/1.1, 200, 0.029368
192.168.10.38, 2017-05-22 17:45:44, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 200, 0.006854
192.168.10.38, 2017-05-22 17:45:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000350
192.168.10.38, 2017-05-22 17:45:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000198
192.168.10.38, 2017-05-22 17:45:53, GET, /, HTTP/1.1, 303, 0.000641
192.168.10.38, 2017-05-22 17:45:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.025594
192.168.10.38, 2017-05-22 17:46:01, GET, /admin/default/edit/welcome/views/layout.html, HTTP/1.1, 200, 0.004655
192.168.10.38, 2017-05-22 17:46:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000300
192.168.10.38, 2017-05-22 17:46:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.032050
192.168.10.38, 2017-05-22 17:47:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.022406
127.0.0.1, 2017-05-22 17:54:56, GET, /, HTTP/1.1, 303, 0.000744
127.0.0.1, 2017-05-22 17:54:57, GET, /welcome/default/index, HTTP/1.1, 200, 0.083889
127.0.0.1, 2017-05-22 17:54:59, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.026703
127.0.0.1, 2017-05-22 17:55:01, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.039313
127.0.0.1, 2017-05-22 17:55:06, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.044902
127.0.0.1, 2017-05-22 17:55:11, POST, /welcome/default/user/login, HTTP/1.1, 200, 0.041581
127.0.0.1, 2017-05-22 17:55:14, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.034966
127.0.0.1, 2017-05-22 17:55:16, GET, /welcome/default/user/request_reset_password, HTTP/1.1, 200, 0.030510
127.0.0.1, 2017-05-22 17:55:22, POST, /welcome/default/user/request_reset_password, HTTP/1.1, 303, 0.160698
