::1, 2017-05-31 21:13:01, GET, /Corpus/default/other, HTTP/1.1, 200, 1.982378
::1, 2017-05-31 21:13:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.103574
::1, 2017-05-31 21:13:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 0.946436
::1, 2017-05-31 21:14:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.123749
::1, 2017-05-31 21:14:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.038528
::1, 2017-05-31 21:14:08, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.070664
::1, 2017-05-31 21:14:12, GET, /Corpus/default/other, HTTP/1.1, 500, 1.838472
::1, 2017-05-31 21:14:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000823
::1, 2017-05-31 21:14:20, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.064672
::1, 2017-05-31 21:14:24, GET, /Corpus/default/other, HTTP/1.1, 200, 1.768288
::1, 2017-05-31 21:14:24, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.000736
::1, 2017-05-31 21:14:49, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.049361
::1, 2017-05-31 21:14:52, GET, /Corpus/default/other, HTTP/1.1, 200, 1.741613
::1, 2017-05-31 21:14:52, GET, /Corpus/static/images/favicon.ico, HTTP/1.1, 200, 0.000749
::1, 2017-05-31 21:15:00, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.052236
::1, 2017-05-31 21:15:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.121956
::1, 2017-05-31 21:15:02, POST, /admin/default/edit/Corpus/controllers/default.py, HTTP/1.1, 200, 0.063870
::1, 2017-05-31 21:15:03, GET, /Corpus/appadmin/hooks, HTTP/1.1, 200, 1.035206
::1, 2017-05-31 21:15:04, GET, /Corpus/default/other, HTTP/1.1, 500, 1.901941
